MJD	CSP_B_old	CSP_B_old_err	CSP_V9844	CSP_V9844_err	CSP_g_old	CSP_g_old_err	CSP_i_old	CSP_i_old_err	CSP_r_old	CSP_r_old_err	CSP_u_old	CSP_u_old_err
54150.2545312526	1.1853191293247223e-15	5.122904162721262e-16	1.6788858423351901e-15	3.875138698076084e-16	1.4202125741203532e-15	1.034112926994683e-15	1.1287866219766683e-15	2.6419858326524985e-16	1.7135608078089641e-15	5.161417344869132e-16	nan	nan
54150.3045312526	1.18474038042364e-15	5.068456813683021e-16	1.6774832920660904e-15	3.8333468680256216e-16	1.4188162052019158e-15	1.0345501810706653e-15	1.1277024615698755e-15	2.642986265801318e-16	1.7114968862732267e-15	5.163468525085599e-16	nan	nan
54150.354531252604	1.1841728993909228e-15	5.012820275353837e-16	1.6760884986795741e-15	3.7906561819521006e-16	1.4174297396102854e-15	1.0348805680218069e-15	1.1266249493053378e-15	2.643705165540812e-16	1.7094446923978208e-15	5.164971399649819e-16	nan	nan
54150.40453125261	1.183616677053473e-15	4.95600293808494e-16	1.674701351798088e-15	3.7470736904630765e-16	1.4160532017887547e-15	1.0351041666171897e-15	1.125553997172188e-15	2.644142751647816e-16	1.7074041710303716e-15	5.165926377364788e-16	nan	nan
54150.45453125261	1.1830717036565385e-15	4.898013422203353e-16	1.6733217407509232e-15	3.7026066243349977e-16	1.4146866155067752e-15	1.0352210607334118e-15	1.1244895171759623e-15	2.6442992636005463e-16	1.7053752670427502e-15	5.166333903756392e-16	nan	nan
54150.50453125261	1.1825379688635779e-15	4.838860583420449e-16	1.6719495545704814e-15	3.657262397902374e-16	1.4133300038626241e-15	1.0352313393777493e-15	1.1234314213369097e-15	2.6441749606269097e-16	1.703357925329877e-15	5.166194461166744e-16	nan	nan
54150.554531252616	1.1820154617562667e-15	4.778553518528648e-16	1.670584681988635e-15	3.611048612619565e-16	1.411983389285994e-15	1.0351350967132708e-15	1.122379621688402e-15	2.64377012175708e-16	1.7013520908087646e-15	5.165508568857407e-16	nan	nan
54150.60453125262	1.1815041708343153e-15	4.717101571409529e-16	1.6692270114331773e-15	3.5639730608083196e-16	1.4106467935405785e-15	1.0349324320859068e-15	1.1213340302751696e-15	2.6430850458794035e-16	1.6993577084174445e-15	5.164276783118823e-16	nan	nan
54150.65453125262	1.181004084015305e-15	4.654514339380572e-16	1.6678764310240054e-15	3.5160437296066093e-16	1.4093202377265474e-15	1.034623450053562e-15	1.1202945591515847e-15	2.642120051801354e-16	1.697374723113828e-15	5.162499697388315e-16	nan	nan
54150.704531252624	1.1805151886344512e-15	4.590801679912887e-16	1.6665328285695388e-15	3.467268805136527e-16	1.4080037422830135e-15	1.0342082604171712e-15	1.1192611203800966e-15	2.640875478313616e-16	1.6954030798747115e-15	5.160177942376275e-16	nan	nan
