MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err
53542.27500000053	8.528238035274024e-16	2.6793489604012416e-17	1.8429716107638394e-16	7.287732650477122e-18	3.4022556729128897e-16	1.9012613515377813e-17	nan	nan
53542.325000000536	8.550341979195588e-16	2.6831095971337584e-17	1.846505504993108e-16	7.295036641736896e-18	3.4082457658628815e-16	1.8920749168484903e-17	nan	nan
53542.37500000054	8.572417718780044e-16	2.6868501612747045e-17	1.8500386855966785e-16	7.30251289204887e-18	3.414242070802863e-16	1.8829381153581642e-17	nan	nan
53542.42500000054	8.594465083492736e-16	2.6905717831651487e-17	1.8535711214309963e-16	7.310157760255928e-18	3.4202445931919625e-16	1.8738512273155682e-17	nan	nan
53542.475000000544	8.616483902728912e-16	2.694275648012434e-17	1.8571027813514057e-16	7.317967693063305e-18	3.4262533311726745e-16	1.8648145084393674e-17	nan	nan
53542.52500000055	8.638474005813294e-16	2.6979629949874606e-17	1.8606336342120861e-16	7.325939224719977e-18	3.4322682348548975e-16	1.855828057324708e-17	nan	nan
53542.57500000055	8.660435221999729e-16	2.701635116301723e-17	1.8641636488661467e-16	7.33406897670724e-18	3.4382892349883226e-16	1.8468919087092226e-17	nan	nan
53542.62500000055	8.682367380470868e-16	2.7052933562344623e-17	1.8676927941653987e-16	7.342353657328746e-18	3.4443162622730547e-16	1.83800609629768e-17	nan	nan
53542.675000000556	8.704270310337652e-16	2.7089391101518747e-17	1.871221038960592e-16	7.350790061270903e-18	3.4503492474137314e-16	1.829170652916543e-17	nan	nan
53542.72500000056	8.726143840639013e-16	2.7125738234798354e-17	1.8747483521011082e-16	7.359375069084837e-18	3.4563881211188245e-16	1.8203856104865874e-17	nan	nan
53542.77500000056	8.747987800341411e-16	2.7161989906496843e-17	1.8782747024350977e-16	7.368105646635381e-18	3.4624328141014047e-16	1.811651000002428e-17	nan	nan
53542.825000000565	8.76980201854237e-16	2.7198161500300424e-17	1.8818000588094662e-16	7.376978844482819e-18	3.4684832570783647e-16	1.8029668515050748e-17	nan	nan
53542.87500000057	8.791586340029757e-16	2.723426578943787e-17	1.8853243900697283e-16	7.385991797225304e-18	3.4745393807706688e-16	1.794333194056067e-17	nan	nan
